date,open,high,low,close,volume,average,barCount
2025-11-04 16:01:00-05:00,100695.5,100752.5,100504.0,100504.0,0.51302648,100601.775,57
2025-11-04 16:02:00-05:00,100503.75,100529.0,100415.75,100428.75,0.22195683,100472.15,61
2025-11-04 16:03:00-05:00,100428.75,101103.0,100428.75,100648.25,0.68597832,100582.875,66
2025-11-04 16:04:00-05:00,100648.25,100757.75,100575.5,100737.75,0.73727968,100692.025,64
2025-11-04 16:05:00-05:00,100727.75,101103.0,100391.75,100393.25,0.33470146,100520.5,65
2025-11-04 16:06:00-05:00,100393.25,101103.0,100373.0,100384.0,0.37394944,100408.4,84
2025-11-04 16:07:00-05:00,100379.75,100454.5,100356.0,100454.5,0.60121048,100401.425,57
2025-11-04 16:08:00-05:00,100454.25,100526.75,100429.0,100429.25,0.6958022,100488.625,55
2025-11-04 16:09:00-05:00,100425.5,100578.25,100425.5,100510.25,0.18152637,100528.15,40
2025-11-04 16:10:00-05:00,100505.0,101103.0,100450.75,100554.25,0.19592932,100523.2,60
2025-11-04 16:11:00-05:00,100564.0,100564.0,100436.25,100436.5,0.26539966,100485.425,54
2025-11-04 16:12:00-05:00,100436.25,100539.5,100426.25,100480.0,0.25869264,100494.35,58
2025-11-04 16:13:00-05:00,100480.0,100555.75,100436.75,100555.75,0.14272428,100498.25,71
2025-11-04 16:14:00-05:00,100555.75,100555.75,100221.5,100255.25,0.50260196,100319.625,72
2025-11-04 16:15:00-05:00,100255.25,100263.25,100076.75,100078.25,0.4145666,100154.825,69
2025-11-04 16:16:00-05:00,100100.0,100169.5,100034.5,100151.75,0.18166084,100110.775,51
2025-11-04 16:17:00-05:00,100119.0,100213.75,100119.0,100123.75,1.11127385,100148.55,63
2025-11-04 16:18:00-05:00,100097.25,101103.0,100087.75,100236.25,0.19950173,100206.775,55
2025-11-04 16:19:00-05:00,100210.0,101103.0,100163.25,100163.25,0.20974056,100205.875,62
2025-11-04 16:20:00-05:00,100164.5,100202.25,100000.0,100012.0,0.27062398,100058.925,88
2025-11-04 16:21:00-05:00,100011.75,100012.0,99900.75,99919.75,0.27056312,99935.45,59
2025-11-04 16:22:00-05:00,99920.0,100184.0,99908.25,100124.5,0.72230034,100058.975,72
2025-11-04 16:23:00-05:00,100124.5,100129.0,99991.5,100001.75,0.21118873,100074.2,54
2025-11-04 16:24:00-05:00,100001.75,100016.75,99943.5,99954.0,2.04725961,99988.075,66
2025-11-04 16:25:00-05:00,99957.75,99980.75,99913.0,99941.75,0.09640531,99949.175,58
2025-11-04 16:26:00-05:00,99941.75,99952.75,99910.75,99913.0,0.12967416,99934.425,61
2025-11-04 16:27:00-05:00,99913.0,99913.0,99713.25,99747.0,0.26240359,99833.0,65
2025-11-04 16:28:00-05:00,99786.0,100000.75,99687.75,99903.0,0.22810081,99893.6,52
2025-11-04 16:29:00-05:00,99903.0,99903.0,99788.5,99866.75,0.22976954,99853.325,59
2025-11-04 16:30:00-05:00,99866.75,99893.75,99600.0,99621.5,3.15080184,99606.15,89
2025-11-04 16:31:00-05:00,99621.25,99723.75,99254.5,99284.5,2.68550697,99324.3,157
2025-11-04 16:32:00-05:00,99253.0,99504.0,99230.0,99230.25,1.55843066,99354.85,115
2025-11-04 16:33:00-05:00,99186.25,99377.5,99170.5,99351.0,1.06579129,99262.5,105
2025-11-04 16:34:00-05:00,99351.0,99377.75,99058.75,99074.25,1.63077744,99133.075,109
2025-11-04 16:35:00-05:00,99065.25,99140.5,98905.0,98915.75,1.86225003,98997.575,133
2025-11-04 16:36:00-05:00,98914.0,99314.0,98913.75,99246.25,2.63515228,99088.325,158
2025-11-04 16:37:00-05:00,99229.0,99242.5,99019.75,99167.25,1.17398177,99077.225,113
2025-11-04 16:38:00-05:00,99137.5,99137.5,98925.0,98979.75,0.95480295,98982.125,129
2025-11-04 16:39:00-05:00,98979.75,99169.25,98925.0,99169.0,3.07290906,99000.625,109
2025-11-04 16:40:00-05:00,99154.75,99393.0,99154.75,99302.0,1.29544924,99218.7,76
2025-11-04 16:41:00-05:00,99321.75,99404.0,99166.75,99167.0,1.19041383,99218.425,91
2025-11-04 16:42:00-05:00,99166.75,99166.75,98972.0,99067.25,0.58976119,99060.75,88
2025-11-04 16:43:00-05:00,99057.5,99212.5,99057.25,99175.0,0.36042132,99116.175,79
2025-11-04 16:44:00-05:00,99175.25,99253.25,99165.0,99241.75,0.18766502,99225.05,83
2025-11-04 16:45:00-05:00,99241.75,99650.75,99230.5,99620.75,1.25283852,99465.3,107
2025-11-04 16:46:00-05:00,99621.0,99713.25,99551.0,99555.0,1.1422066,99615.325,94
2025-11-04 16:47:00-05:00,99555.0,99555.0,99414.5,99426.5,0.10441599,99457.775,72
2025-11-04 16:48:00-05:00,99436.0,99588.25,99436.0,99566.75,0.91854511,99531.1,92
2025-11-04 16:49:00-05:00,99566.75,99598.25,99454.0,99478.0,0.83823361,99522.3,83
2025-11-04 16:50:00-05:00,99478.0,99556.75,99444.5,99526.25,0.10253657,99531.85,65
2025-11-04 16:51:00-05:00,99526.0,99535.75,99184.25,99350.75,1.33383835,99249.525,97
2025-11-04 16:52:00-05:00,99301.0,99422.75,99249.0,99338.0,0.47686478,99297.825,74
2025-11-04 16:53:00-05:00,99316.75,99325.5,99110.0,99201.0,0.8619969,99163.0,92
2025-11-04 16:54:00-05:00,99220.5,99460.75,99220.5,99460.75,0.42576326,99345.575,74
2025-11-04 16:55:00-05:00,99460.75,99901.5,99460.75,99892.75,0.82464292,99698.275,72
2025-11-04 16:56:00-05:00,99890.5,101103.0,99836.25,100129.0,0.80908473,99950.325,99
2025-11-04 16:57:00-05:00,100100.0,100102.25,99909.0,99911.5,0.15716209,99995.35,56
2025-11-04 16:58:00-05:00,99908.75,100171.75,99889.0,100171.75,1.04733828,100008.45,69
2025-11-04 16:59:00-05:00,100227.25,101103.0,100167.0,100261.75,0.21518895,100206.775,58
2025-11-04 17:00:00-05:00,100251.0,100294.5,100045.75,100294.5,0.11757692,100176.6,54
2025-11-04 17:01:00-05:00,100244.25,100442.75,100231.75,100231.75,0.14451257,100355.9,65
2025-11-04 17:02:00-05:00,100210.0,100369.5,100210.0,100293.0,0.67529796,100287.5,70
2025-11-04 17:03:00-05:00,100293.25,100614.5,100293.25,100586.0,0.21594201,100499.0,57
2025-11-04 17:04:00-05:00,100583.0,100640.5,100509.75,100585.0,0.24619481,100593.025,66
2025-11-04 17:05:00-05:00,100569.5,100614.5,100339.0,100339.25,0.22164161,100435.425,61
2025-11-04 17:06:00-05:00,100339.0,101103.0,100338.75,100618.0,0.49230197,100523.55,63
2025-11-04 17:07:00-05:00,100645.0,100704.25,100571.75,100704.25,0.17791754,100637.1,53
2025-11-04 17:08:00-05:00,100724.0,101103.0,100698.5,100882.25,0.17846664,100767.5,53
2025-11-04 17:09:00-05:00,100882.0,100950.5,100816.25,100923.0,0.36740527,100899.15,67
2025-11-04 17:10:00-05:00,100943.5,100982.75,100852.0,100862.0,0.19347277,100889.175,54
2025-11-04 17:11:00-05:00,100883.0,100883.0,100807.25,100807.5,0.46878152,100847.975,72
2025-11-04 17:12:00-05:00,100807.5,100917.75,100796.5,100835.25,0.75119743,100836.225,87
2025-11-04 17:13:00-05:00,100816.5,100816.75,100749.75,100804.75,0.85545369,100772.95,81
2025-11-04 17:14:00-05:00,100805.0,100883.75,100804.75,100844.75,0.48488408,100845.825,61
2025-11-04 17:15:00-05:00,100844.75,100999.0,100817.0,100984.25,0.7318353,100874.45,67
2025-11-04 17:16:00-05:00,100969.0,101025.75,100852.75,101025.75,1.88511116,100937.725,87
2025-11-04 17:17:00-05:00,101030.0,101245.75,100962.0,101217.75,0.68911732,101083.175,68
2025-11-04 17:18:00-05:00,101223.0,101261.75,101146.75,101252.0,0.34467976,101197.075,68
2025-11-04 17:19:00-05:00,101248.0,101248.0,101181.75,101245.0,0.74072753,101204.725,60
